orf_name,name,chr,start,stop,length,strand,orf_class,ontology,TSS,PAS,half_life,coverage
YAL063C,FLO9,1,24000,27968,3969,-,Verified,"GO:0000128,GO:0000501,GO:0005537,GO:0009277",28212,23928.0,25.35,0.9615
YAL062W,GDH3,1,31567,32940,1374,+,Verified,"GO:0004354,GO:0005625,GO:0005634,GO:0005739,GO:0006537,GO:0019676",31189,33012.0,45.0,0.9915
YAL061W,BDH2,1,33448,34701,1254,+,Uncharacterized,"GO:0005634,GO:0005737,GO:0008150,GO:0016616",33360,34869.0,30.0,0.9935
YAL060W,BDH1,1,35155,36303,1149,+,Verified,"GO:0000721,GO:0005737,GO:0006066,GO:0034079",35108,36388.0,30.085,0.991
YAL059W,ECM1,1,36509,37147,639,+,Verified,"GO:0000055,GO:0003674,GO:0005634,GO:0005730,GO:0030687,GO:0031505",36560,37345.0,6.84333333333,0.977
YAL058W,CNE1,1,37464,38972,1509,+,Verified,"GO:0006457,GO:0030176,GO:0030433,GO:0051082",37450,39012.0,21.453333333299998,0.9715
YAL056W,GPB2,1,39259,41901,2643,+,Verified,"GO:0001403,GO:0004862,GO:0004871,GO:0005737,GO:0005739,GO:0005886,GO:0007124,GO:0007165,GO:0010255,GO:0030437,GO:0032794,GO:0045944,GO:0046580",39216,41981.0,20.8933333333,0.91
YAL055W,PEX22,1,42177,42719,543,+,Verified,"GO:0005779,GO:0006625,GO:0016562,GO:0043495",42192,42791.0,15.82,0.9745
YAL053W,FLC2,1,45899,48250,2352,+,Verified,"GO:0005737,GO:0005783,GO:0006457,GO:0009272,GO:0015230,GO:0015883,GO:0055085",45745,48311.0,17.6266666667,0.9435
YAL049C,AIM2,1,51855,52595,741,-,Verified,"GO:0003674,GO:0005737,GO:0008150",52662,51720.0,28.1766666667,0.963
YAL048C,GEM1,1,52801,54789,1989,-,Verified,"GO:0000001,GO:0003924,GO:0005509,GO:0005739,GO:0005741,GO:0016192",54826,52617.0,4.8,0.956
YAL044C,GCV3,1,57950,58462,513,-,Verified,"GO:0004375,GO:0005739,GO:0005960,GO:0006546,GO:0006730,GO:0009249",58477,57869.0,59.4433333333,0.957
YAL043C,PTA1,1,58695,61052,2358,-,Verified,"GO:0003723,GO:0005847,GO:0005849,GO:0006378,GO:0006379,GO:0008033,GO:0030846,GO:0030847",61077,58627.0,29.1733333333,0.9075
YAL042W,ERV46,1,61316,62563,1248,+,Verified,"GO:0003674,GO:0006888,GO:0030134,GO:0030173,GO:0030176",61275,62655.0,28.6466666667,0.906
YAL041W,CDC24,1,62840,65404,2565,+,Verified,"GO:0000131,GO:0000750,GO:0000753,GO:0001403,GO:0005089,GO:0005634,GO:0005737,GO:0005934,GO:0005935,GO:0006033,GO:0007096,GO:0007118,GO:0007119,GO:0007124,GO:0007264,GO:0030010,GO:0043332",62777,65464.0,24.165,0.9105
YAL040C,CLN3,1,65778,67520,1743,-,Verified,"GO:0000079,GO:0000082,GO:0000083,GO:0005634,GO:0007033,GO:0008361,GO:0016538,GO:0042144",67845,65602.0,27.2,0.9925
YAL039C,CYC3,1,68716,69525,810,-,Verified,"GO:0004408,GO:0005739,GO:0005758,GO:0018063",69582,68655.0,17.26,0.9885
YAL038W,CDC19,1,71786,73288,1503,+,Verified,"GO:0001950,GO:0004743,GO:0005829,GO:0006090,GO:0006096",71760,73453.0,41.975,0.9965
YAL036C,RBG1,1,75043,76152,1110,-,Verified,"GO:0005525,GO:0005737,GO:0005844,GO:0006412,GO:0042788",76190,74851.0,13.406666666700001,0.874
YAL035W,FUN12,1,76427,79435,3009,+,Verified,"GO:0003743,GO:0003924,GO:0005739,GO:0006413,GO:0022627",76402,79556.0,23.57,0.87
YAL034W-A,MTW1,1,79718,80587,870,+,Verified,"GO:0000818,GO:0000922,GO:0003674,GO:0007059,GO:0034501",79690,80676.0,8.07333333333,0.966
YAL033W,POP5,1,82706,83227,522,+,Verified,"GO:0000171,GO:0000172,GO:0004526,GO:0005655,GO:0006364,GO:0006379,GO:0008033,GO:0034965",82702,83300.0,12.19,0.9705
YAL032C,PRP45,1,83335,84474,1140,-,Verified,"GO:0000350,GO:0000384,GO:0000386,GO:0005634,GO:0071006,GO:0071007,GO:0071014",84495,83205.0,18.0,0.938
YAL031C,GIP4,1,84749,87031,2283,-,Verified,"GO:0005737,GO:0007059,GO:0008157,GO:0008599,GO:0043666",87079,84596.0,19.5866666667,0.912
YAL029C,MYO4,1,87855,92270,4416,-,Verified,"GO:0000146,GO:0005739,GO:0005933,GO:0005934,GO:0007533,GO:0008298,GO:0031475,GO:0031941,GO:0048309,GO:0051015",92523,87696.0,21.8566666667,0.934
YAL028W,FRT2,1,92900,94486,1587,+,Verified,"GO:0003674,GO:0005783,GO:0006950",92855,94607.0,69.0,0.938
YAL027W,SAW1,1,94687,95472,786,+,Verified,"GO:0000736,GO:0003674,GO:0005634",94608,95579.0,12.85,0.9895
